No.overall,No. inseason,Title,Blacklistguide,Directed by,Written by,Original air date,US viewers(millions)
133,22,"""Robert Diaz""",No. 15,Bill Roe,Jon Bokenkamp & John Eisendrath & Lukas Reiter,"May 17, 2019",4.46[140]
134,1,"""Louis T. Steinhil""",No. 27,Bill Roe,John Eisendrath & Jon Bokenkamp,"October 4, 2019",4.05[142]
135,2,"""Louis T. Steinhil: Conclusion""",No. 27,Cort Hessler,Lukas Reiter,"October 11, 2019",3.78[143]
136,3,"""Les Fleurs Du Mal""",No. 151,Lisa Robinson,Kelli Johnson & Taylor Martin,"October 18, 2019",3.57[144]
137,4,"""Kuwait""",N/A,Stephanie Marquardt,Sean Hennen,"October 25, 2019",3.61[145]
138,5,"""Norman Devane""",No. 138,Kurt Kuenne,Noah Schechter,"November 1, 2019",3.94[146]
139,6,"""Dr. Lewis Powell""",No. 130,Christine Gee,Sam Christopher,"November 8, 2019",4.19[147]
140,7,"""Hannah Hayes""",No. 125,Adam Weisinger,Daniel Cerone,"November 15, 2019",3.98[148]
141,8,"""The Hawaladar""",No. 162,Paul Holahan,Jon Bokenkamp & Lukas Reiter,"November 22, 2019",3.91[149]
142,9,"""Orion Relocation Services""",No. 159,Stephanie Marquardt,Sean Hennen & Taylor Martin,"December 6, 2019",3.67[150]
143,10,"""Katarina Rostova""",No. 3,Daniel Willis,Daniel Cerone,"December 13, 2019",3.87[151]
144,11,"""Victoria Fenberg""",No. 137,Bill Roe,T Cooper & Allison Glock-Cooper,"March 20, 2020",5.38[152]
145,12,"""Cornelius Ruck""",No. 155,John Terlesky,Lukas Reiter,"March 27, 2020",4.73[153]
146,13,"""Newton Purcell""",No. 144,Michael Caracciolo,Noah Schechter,"April 3, 2020",4.67[154]
147,14,"""Twamie Ullulaq""",No. 126,"Victor Nelli, Jr.",Daniel Cerone,"April 10, 2020",4.86[155]
148,15,"""Gordon Kemp""",No. 158,Andrew McCarthy,Jonathan Shapiro & Lukas Reiter,"April 17, 2020",4.83[156]
149,16,"""Nyle Hatcher""",No. 149,Tessa Blake,Katie Bockes,"April 24, 2020",4.83[157]
150,17,"""Brothers""[158]",N/A,Mahesh Pailoor,Sean Hennen,"May 1, 2020",TBD
151,18,"""Roy Cain""[159]",No. 150[160],Daniel Willis,Aiah Samba[160],"May 8, 2020",TBD

